Data;Fix;Top;Premium M.;Premium F.;Multiprev M.;Multiprev F.;Previdence;XP Prev;Access;Synta;Capit D. Inc;Capit D. Inc F.;Aquila6;Strategy;CW1;Inflation;Index;Alfa;Harpia;Emb;Portfolio;Multi;Volks Fusca;Fcopel;São Paulo;Reit ;Reit 90
02/01/2019;60%;54%;-13%;-22%;26%;20%;53%;#N/D;10%;635%;249%;223%;-143%;-1106%;497%;57%;38%;339%;690%;127%;-787%;-787%;871%;572%;270%;-361%;554%
03/01/2019;179%;173%;218%;209%;249%;237%;205%;#N/D;270%;-319%;69%;60%;933%;786%;1556%;750%;724%;417%;463%;127%;2%;-7%;332%;1266%;86%;4822%;2752%
04/01/2019;106%;100%;129%;119%;98%;90%;100%;#N/D;111%;154%;139%;124%;80%;-13%;368%;164%;145%;242%;257%;127%;4%;-6%;-113%;285%;14%;179%;824%
07/01/2019;83%;77%;85%;76%;43%;36%;44%;#N/D;51%;67%;143%;122%;249%;630%;478%;49%;30%;8%;-8%;126%;6%;-4%;-328%;390%;-24%;2310%;1150%
08/01/2019;136%;130%;154%;141%;167%;157%;154%;#N/D;172%;203%;143%;122%;243%;128%;598%;206%;185%;51%;49%;129%;5%;-5%;218%;246%;31%;257%;786%
09/01/2019;219%;213%;327%;291%;243%;232%;209%;#N/D;241%;251%;143%;122%;677%;608%;914%;425%;403%;518%;567%;129%;4%;-6%;671%;961%;85%;1850%;2224%
10/01/2019;84%;77%;10%;12%;132%;123%;142%;#N/D;199%;196%;143%;122%;-215%;-332%;-497%;-51%;-69%;95%;88%;133%;5%;-6%;-112%;-479%;-3%;-2213%;-3497%
11/01/2019;112%;106%;119%;108%;125%;116%;100%;#N/D;101%;51%;160%;136%;-1%;48%;-325%;163%;143%;98%;72%;270%;7%;-3%;230%;20%;14%;36%;2434%
14/01/2019;115%;109%;120%;109%;97%;89%;106%;#N/D;104%;125%;178%;150%;263%;-3%;410%;163%;143%;-1994%;45%;208%;9%;-2%;573%;532%;38%;611%;802%
15/01/2019;12%;6%;90%;83%;72%;64%;23%;#N/D;92%;79%;254%;209%;205%;494%;254%;145%;125%;28%;49%;196%;6%;-4%;-75%;252%;30%;945%;730%
16/01/2019;222%;216%;175%;157%;126%;117%;110%;#N/D;149%;162%;143%;122%;463%;388%;534%;255%;234%;176%;166%;167%;6%;-5%;90%;644%;26%;1944%;1069%
17/01/2019;117%;111%;133%;120%;101%;93%;93%;#N/D;80%;111%;173%;146%;147%;195%;704%;100%;81%;139%;158%;168%;6%;-5%;-1015%;200%;54%;192%;117%
18/01/2019;79%;73%;95%;87%;64%;57%;-33%;#N/D;43%;80%;158%;134%;-16%;-150%;736%;74%;55%;106%;121%;168%;6%;-5%;18%;2%;48%;-27%;-689%
21/01/2019;78%;72%;99%;91%;77%;69%;70%;#N/D;114%;78%;158%;134%;577%;1076%;997%;374%;353%;75%;68%;171%;7%;-4%;18%;950%;18%;3454%;2076%
22/01/2019;156%;150%;157%;141%;107%;99%;99%;#N/D;104%;70%;163%;138%;299%;519%;222%;148%;161%;199%;201%;172%;6%;-4%;79%;588%;27%;1265%;42%
23/01/2019;101%;95%;119%;108%;98%;90%;101%;#N/D;128%;150%;163%;138%;37%;-137%;-302%;63%;34%;284%;269%;183%;4%;-6%;94%;172%;1371%;-498%;298%
24/01/2019;103%;97%;108%;98%;175%;165%;156%;#N/D;200%;132%;161%;136%;147%;-48%;260%;56%;53%;-16%;-23%;169%;4%;-6%;71%;-66%;29%;-509%;-381%
25/01/2019;112%;106%;124%;112%;104%;96%;96%;#N/D;121%;120%;163%;138%;94%;22%;123%;81%;78%;120%;119%;177%;5%;-6%;78%;97%;45%;-6%;2%
28/01/2019;124%;118%;140%;126%;152%;143%;141%;#N/D;175%;149%;163%;138%;4%;-328%;56%;15%;13%;68%;51%;177%;6%;-4%;72%;-132%;53%;-1447%;-859%
29/01/2019;123%;117%;137%;124%;139%;129%;116%;#N/D;156%;131%;163%;138%;505%;613%;132%;215%;210%;370%;341%;177%;5%;-6%;97%;895%;63%;2744%;1829%
30/01/2019;-24%;-30%;-53%;-42%;25%;18%;33%;#N/D;-6%;56%;163%;138%;-410%;-153%;-391%;-278%;-278%;22%;13%;177%;5%;-6%;52%;-211%;-8%;-880%;-542%
31/01/2019;301%;295%;384%;339%;252%;240%;212%;#N/D;329%;186%;163%;138%;679%;133%;828%;411%;405%;610%;553%;177%;5%;-6%;76%;657%;87%;934%;598%
01/02/2019;-4%;-10%;-33%;-23%;9%;3%;39%;#N/D;-47%;138%;415%;336%;-196%;-143%;559%;-244%;-244%;422%;389%;177%;-72%;-83%;-4122%;435%;-5117%;432%;272%
04/02/2019;26%;20%;41%;40%;43%;36%;42%;#N/D;-51%;-7%;110%;97%;6%;165%;-602%;86%;83%;-19%;-3%;177%;6%;-4%;77%;16%;36%;-47%;87%
05/02/2019;107%;101%;119%;108%;113%;104%;99%;#N/D;114%;103%;155%;132%;569%;816%;91%;286%;281%;2%;3%;178%;4%;-7%;77%;530%;31%;2770%;80%
06/02/2019;65%;59%;25%;26%;110%;101%;114%;#N/D;120%;133%;247%;204%;145%;-94%;-633%;-118%;-119%;-15%;1%;176%;5%;-6%;77%;-7%;24%;63%;-398%
07/02/2019;250%;244%;373%;329%;295%;282%;266%;#N/D;420%;341%;172%;145%;46%;-845%;84%;-101%;-102%;-67%;-49%;180%;5%;-6%;55%;-736%;29%;-3072%;1847%
08/02/2019;-1%;-7%;-25%;-17%;29%;22%;26%;#N/D;-24%;-64%;2215%;1762%;-63%;12%;58%;76%;73%;-327%;-317%;7%;4%;-7%;78%;-436%;17%;21%;133%
11/02/2019;35%;29%;-35%;-27%;52%;44%;-53%;#N/D;107%;80%;69%;64%;-249%;-456%;233%;-7%;-10%;-3814%;-4773%;171%;6%;-4%;78%;-304%;67%;-1493%;476%
12/02/2019;84%;78%;104%;95%;86%;78%;148%;#N/D;78%;59%;141%;121%;105%;153%;546%;99%;96%;395%;370%;171%;5%;-5%;78%;407%;65%;245%;174%
13/02/2019;97%;91%;88%;81%;89%;81%;76%;#N/D;70%;51%;52%;50%;43%;5%;90%;104%;100%;386%;360%;171%;5%;-5%;78%;282%;69%;-68%;364%
